x	y	z	Name	Id	PType	Colour Num	Colour Id	Colour (red)	Colour (green)	Colour (blue)
535527.5185	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.5185	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.7171	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535527.9157	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.1143	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.3129	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.5116	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.7102	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535528.9088	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
